IncidentName,CreateDate
Guava 2,2020/07/15 12:19:21
455 ,2020/07/20 19:43:11
Hawley,2020/07/28 00:04:08
Pennys,2020/06/19 21:55:09
WARM SPRINGS,2020/07/10 20:22:07
Kuka Creek,2020/06/20 21:38:12
Frosty,2020/07/23 14:28:22
Warmouth,2020/07/20 14:49:19
Crow Point,2020/06/20 21:36:01
Vics Peak,2020/07/04 12:19:36
Antelope,2020/06/28 02:26:43
Pierce,2020/07/21 22:12:24
Hawk River,2020/06/20 21:40:36
Cottonwood Trail,2020/07/19 21:50:05
Clark Lake,2020/07/26 22:49:34
Roc,2020/07/10 20:25:40
Silica,2020/07/04 19:09:49
DeCourcy Mountain,2020/06/20 21:37:59
Pastoliak River,2020/06/20 21:43:17
Pine Ridge,2020/06/27 18:51:14
Gilmore Creek,2020/07/10 20:22:14
Nimiuktuk River,2020/06/20 21:42:29
Roller Coaster - Prairie,2020/07/21 23:21:09
Red Drum,2020/07/20 13:19:51
Aklumayuak Creek,2020/06/20 21:42:28
Engineer Lake,2020/06/23 19:01:50
Rock Creek,2020/07/10 20:22:40
R2 - Trumbull,2020/07/22 21:09:45
Strawberry,2020/07/22 17:43:38
Yellow River 2,2020/06/29 21:11:25
Roadside - Dawson,2020/07/28 16:11:46
Greenhouse,2020/07/23 23:40:05
Bitter Creek,2020/07/28 18:22:27
Willow,2020/07/28 19:23:17
Chandler,2020/07/26 01:34:14
84,2020/07/28 21:39:18
EAGLE PASS,2020/07/16 19:30:08
Divide - Dawson,2020/07/28 22:07:38
Polecat,2020/07/28 17:58:47
BONANZA,2020/07/17 21:40:08
King Hill Canal,2020/07/28 23:58:42
Williams,2020/07/23 21:16:14
Bringham,2020/06/23 12:42:31
Over,2020/07/29 19:10:24
PRD340,2020/07/05 22:29:13
Warsaw,2020/07/29 23:17:39
Fresnal,2020/07/29 23:35:10
S-4 SHELDON,2020/07/27 20:00:04
Indian Springs,2020/07/30 02:37:45
Brook,2020/07/30 08:13:36
Dragon Rock,2020/07/30 17:01:14
Moon,2020/07/17 22:46:48
Lone Rock,2020/06/21 21:17:58
Warm,2020/07/31 16:16:06
Blue River 2,2020/07/19 23:29:07
Buck Butte,2020/07/31 18:59:55
Anniversary,2020/07/10 20:25:18
East Fork,2020/07/27 22:30:53
Matlock,2020/08/01 04:42:19
COWHEAD,2020/07/31 23:55:04
Indian Valley,2020/08/01 20:33:48
Trail,2020/08/02 17:19:08
WATERHOLE,2020/07/10 20:23:05
BASQUE,2020/07/10 20:25:47
Magote,2020/07/10 20:24:18
SEELY ,2020/07/30 20:25:06
Myers - Garfield ,2020/08/03 17:12:55
Sage Road,2020/07/30 19:35:30
Table legs,2020/08/03 18:32:48
Dry Creek,2020/07/30 01:05:37
CLARKELEN,2020/08/03 20:30:08
ZERO ROAD,2020/07/19 19:00:05
Gas Hills,2020/08/03 23:12:44
Frost Draw,2020/08/04 01:09:09
KONNOWAC,2020/08/04 03:43:15
Halfway,2020/08/03 21:15:05
Elsmere,2020/08/04 14:33:18
BROKEN TRAIL,2020/08/04 16:37:33
TRAIL BLAZER,2020/08/04 17:34:54
Power County Assist 1,2020/08/04 23:47:00
Battle,2020/08/04 23:13:31
KNOLL,2020/08/04 20:59:22
Grassy,2020/06/19 21:52:51
EAST RIVER,2020/08/05 02:37:27
State Line,2020/08/04 19:12:41
DALTON,2020/08/06 01:11:13
ALLEN,2020/08/06 01:11:13
St Michael,2020/06/20 21:38:32
Lost River,2020/08/06 17:52:22
Sage Road,2020/07/15 20:25:42
War Canyon,2020/08/06 22:09:48
MM78 I84,2020/08/07 01:03:04
Buckhorn Creek,2020/08/07 01:08:07
Texas,2020/08/07 11:54:47
Juniper Park ,2020/08/07 20:01:49
COULEE MEADOWS,2020/07/31 04:20:07
Collins,2020/08/07 19:03:19
Mud Creek ,2020/08/08 16:43:47
PUCKER HILL 0519 RS,2020/08/08 16:53:50
Bobcat,2020/08/08 16:21:06
Bumble Bee,2020/08/08 21:42:21
Upper Provo,2020/08/06 10:08:54
Alder creek,2020/08/08 18:27:13
Palace ,2020/08/04 03:26:44
Sugar,2020/08/09 14:12:41
Cresent Valley A,2020/08/09 17:01:52
NORTH BROWNSTOWN,2020/08/06 23:45:06
205 ,2020/08/09 17:59:12
205 ,2020/08/09 17:59:12
Lake Walcott,2020/08/09 20:59:15
CANYON,2020/08/01 16:30:20
Margies Assist,2020/08/06 16:05:53
4600,2020/08/09 23:52:02
Headlight,2020/07/01 04:01:57
Iron County Landfill,2020/07/06 17:06:10
Sixshooter,2020/07/10 20:24:02
White Mountain 2,2020/06/20 21:39:10
Muskrat,2020/07/08 01:39:44
TL Blue Creek,2020/07/10 20:21:09
Second Creek,2020/07/10 20:25:29
Lou Lake,2020/06/20 21:39:47
Parowan,2020/07/07 17:26:46
Aurora,2020/06/28 22:01:56
horse,2020/07/07 23:47:46
Waterline,2020/06/29 17:10:25
Paragon River,2020/06/20 21:39:13
Lees Creek,2020/07/01 21:02:53
Soldier Pass 2,2020/07/04 17:15:44
Fish River,2020/06/20 21:39:19
Clinton Landing,2020/07/04 20:01:16
Eagle,2020/07/07 15:52:14
Duck,2020/08/10 10:27:27
Balanced Rock,2020/08/05 01:33:52
Scriver,2020/08/10 15:31:25
Cow Creek,2020/08/10 18:14:36
Aviator 2,2020/08/10 18:25:35
Sunset,2020/08/10 19:29:30
Bacon Creek,2020/08/10 21:54:36
PINK,2020/08/09 04:07:04
JOHNSON 2,2020/08/09 19:37:43
Halverson,2020/08/11 18:35:03
Dicky Road,2020/08/11 20:18:52
Ponderosa - Wibaux,2020/08/11 21:40:29
Percy West,2020/08/11 21:37:03
Secrest - Harding,2020/08/12 15:57:45
STAGECOACH,2020/08/03 22:35:05
Porcupine ,2020/08/12 22:05:05
Iron Mountain ,2020/07/10 20:23:02
Stage Fire,2020/07/10 20:19:36
MOWER,2020/07/10 20:23:52
Highway 138,2020/07/09 22:39:31
Parallel,2020/07/10 20:21:42
South Lone Rock,2020/07/08 22:40:56
Aquila,2020/06/24 02:29:32
CAD#: 20-225648 ,2020/07/10 20:21:01
Agua Fria,2020/07/10 20:20:14
Picture Canyon,2020/07/03 20:07:33
Wagon fire ,2020/07/02 23:17:15
Circle,2020/07/10 20:21:12
Eaton - Prairie,2020/08/13 15:08:11
Phillips Creek,2020/08/13 15:18:47
East Airboat,2020/08/13 15:48:33
Harry,2020/08/13 18:18:36
South Valley,2020/08/13 18:18:43
Marble Bluff,2020/08/13 18:18:57
Ash Pit,2020/08/13 18:18:37
Redrock,2020/08/13 18:18:39
Parson 2,2020/08/13 18:19:08
Candle,2020/08/13 18:21:35
Cole,2020/08/13 18:20:41
Bart,2020/08/13 18:19:10
Rams Horn,2020/08/13 18:20:17
Stillwell,2020/08/13 18:19:54
Bald,2020/08/13 18:20:43
Cielo,2020/08/13 18:19:07
Boulevard ,2020/08/13 18:21:27
Frozen Toe,2020/08/13 18:21:42
Cress,2020/08/13 18:21:34
MM 99,2020/08/13 18:20:44
Cemetery ,2020/08/13 18:20:00
Peavine,2020/08/13 18:20:32
CCFD 8 - Sunset,2020/08/13 18:21:00
Bean Flat,2020/08/13 18:21:25
Mile Marker 14,2020/08/13 18:21:05
Henderson ,2020/08/13 18:18:58
Hidden Valley,2020/08/13 18:20:52
Reverence,2020/08/13 18:19:50
MM 12,2020/08/13 18:23:22
MM 151,2020/08/13 18:20:26
Sloan 22,2020/08/13 18:20:33
Sonoma,2020/08/13 18:22:50
Pearl,2020/08/13 18:23:19
MM 203 B,2020/08/13 18:20:16
Center,2020/08/13 18:21:48
Ravenswood ,2020/08/13 18:20:03
Sloan 9,2020/08/13 18:23:27
Elk,2020/08/13 18:20:20
Sloan 23,2020/08/13 18:19:39
Pilot Valley,2020/08/13 18:20:48
Mesa Verde,2020/08/13 18:20:18
Ferber Hills,2020/08/13 18:22:35
Rose,2020/08/13 18:20:08
Sandy Valley Road,2020/08/13 18:20:30
Elbow Canyon,2020/08/13 18:21:27
Turtlehead,2020/08/13 18:20:23
Patterson ,2020/08/13 18:19:47
Silver ,2020/08/13 18:21:19
Lake Mead,2020/08/13 18:19:17
Yahoo,2020/08/13 18:21:55
Antelope ,2020/08/13 18:21:38
Victory,2020/08/13 18:21:36
MM 165,2020/08/13 18:23:14
Johnson,2020/08/13 18:21:15
Hill,2020/08/13 18:19:25
Line,2020/08/13 18:21:34
River Bottom ,2020/08/13 18:20:42
Pilot,2020/08/13 18:22:29
Sloan 5,2020/08/13 18:20:46
South Center,2020/08/13 18:23:28
Bishop,2020/08/13 18:23:20
Twelvemile,2020/08/13 18:19:18
Sloan 2,2020/08/13 18:20:54
Arrow Basin,2020/08/13 18:20:10
Stony,2020/08/13 18:19:22
Mile Marker 25,2020/08/13 18:19:16
Gulley,2020/08/13 18:23:24
Frenchman 2,2020/08/13 18:19:17
Lake Mead 2,2020/08/13 18:23:10
Hobson,2020/08/13 18:22:20
Sloan 4,2020/08/13 18:23:08
Sloan 8,2020/08/13 18:20:34
Mahogany,2020/08/13 18:20:31
MM 91,2020/08/13 18:23:26
Summer Hill,2020/08/13 18:23:29
MM 171,2020/08/13 18:21:16
Foothills 2,2020/08/13 18:19:15
Monroe,2020/08/13 18:23:05
Bat,2020/08/13 18:20:35
Sloan 24,2020/08/13 18:22:15
Crystal Peak,2020/08/13 18:22:03
Spring,2020/08/13 18:23:26
Smith,2020/08/13 18:19:27
Roach,2020/08/13 18:21:17
Point,2020/08/13 18:22:08
Sandy Valley 1,2020/08/13 18:20:12
Mile Marker 17,2020/08/13 18:22:25
Timber Mountain,2020/08/13 18:23:15
Branding Iron ,2020/08/13 18:21:40
Monarch,2020/08/13 18:19:30
MM 24,2020/08/13 18:20:25
Wildcat,2020/08/13 18:21:45
Brady 2,2020/08/13 18:19:24
Tropical,2020/08/13 18:23:06
Foothills 1,2020/08/13 18:19:15
Sunrise Mountain,2020/08/13 18:19:44
Deerlodge,2020/08/13 18:20:07
Magic Mountains,2020/08/13 18:20:37
Empress,2020/08/13 18:19:55
Poeville Road,2020/08/13 18:19:19
Taylor Springs,2020/08/13 18:19:09
Erie,2020/08/13 18:20:50
Ibapah,2020/08/13 18:20:59
Late Night,2020/08/13 18:20:21
Big Summit,2020/08/13 18:21:47
North Creek,2020/08/13 18:19:43
Powerline,2020/08/13 18:20:29
Blue Ribbon,2020/08/13 18:19:34
Spanish Trail,2020/08/13 18:20:18
Churchill Buttes,2020/08/13 18:21:24
Echo Bay,2020/08/13 18:22:47
Power ,2020/08/13 18:22:18
Fairview,2020/08/13 18:20:38
MM 203,2020/08/13 18:21:13
Sloan 17,2020/08/13 18:20:58
10 mile,2020/08/13 18:19:13
Sheep Creek,2020/08/13 18:23:30
Meadow Valley,2020/08/13 18:23:34
Chicken,2020/08/13 18:23:37
Cedar,2020/08/13 18:23:36
Jobs,2020/08/13 18:23:38
Trout Creek,2020/08/13 18:23:32
Red,2020/08/13 18:56:19
Cresent Valley B,2020/08/09 16:55:34
Canyon Point,2020/08/13 21:34:07
Mutton,2020/08/13 20:37:24
Red,2020/08/13 20:32:57
Beowawe,2020/08/14 02:00:44
Pine,2020/08/14 02:32:23
Gibson Ditch - Wibaux,2020/08/14 16:53:04
Grassy Mountain,2020/08/14 20:46:42
Trust,2020/08/15 01:50:01
Mosier Creek,2020/08/14 16:14:35
Chewaucan,2020/08/16 02:01:17
American Road,2020/08/16 02:15:01
Poodle,2020/08/16 12:55:03
273,2020/08/16 16:29:08
Road,2020/08/16 20:19:00
Howell Canyon,2020/08/16 21:27:17
Collins,2020/08/16 22:54:11
County Line,2020/07/30 04:58:04
Jersey ,2020/08/17 02:37:47
Felt Dam,2020/08/17 01:46:25
Canyon,2020/08/17 02:57:13
MM 164,2020/08/13 18:19:36
Rookery Branch 2,2020/07/14 20:33:37
Powerline,2020/07/01 04:09:45
Mile Marker Ninety Seven,2020/07/11 17:12:28
Anderson Junction,2020/07/15 20:44:10
Pony,2020/07/12 19:44:07
New Forest,2020/08/13 18:18:51
SPD-284,2020/07/06 03:25:00
Kochilagok Hill,2020/06/20 21:41:45
Tank,2020/07/27 23:41:57
Cougar,2020/08/17 02:27:41
Canyon Creek,2020/08/07 21:51:47
PINE TREE JUNCTION,2020/08/17 20:21:18
Wood Canyon,2020/08/16 15:50:09
Easy,2020/08/17 23:06:08
R-6,2020/08/18 00:01:05
TAYLOR POND,2020/08/17 15:00:04
Golconda,2020/08/18 16:39:34
Hatchett - Prairie,2020/08/18 17:42:04
Zero - Prairie,2020/08/18 18:27:04
Michaud Creek,2020/08/18 21:35:17
Steinmetz Creek ,2020/08/18 16:50:05
R-5,2020/08/17 20:00:04
Krozier,2020/08/19 02:53:27
Anderson Crossing,2020/08/19 04:10:24
North Cottonwood,2020/08/09 03:17:30
Bronco,2020/08/19 17:32:16
Bancroft,2020/08/19 17:15:52
Shooting Range,2020/08/09 02:24:20
CALDWELL,2020/08/06 01:11:13
Mackey Canyon,2020/08/20 01:39:22
North Carter,2020/08/20 02:24:54
West Juniper,2020/08/19 02:24:12
Bear Paw,2020/08/19 17:31:41
Elk,2020/08/20 02:29:29
Beach,2020/08/20 04:10:55
Crane,2020/08/16 21:05:04
Jones Point,2020/08/20 10:49:55
Rock Springs,2020/08/20 14:49:47
Hess,2020/08/19 22:54:42
Muleshoe,2020/08/20 17:19:46
Black Pine,2020/08/20 18:01:16
Saw Mill ,2020/08/20 18:13:55
Big Rock,2020/08/19 22:30:29
East Armells,2020/08/20 18:48:54
Little Mud Creek,2020/08/19 03:15:04
BALDY,2020/08/18 02:05:05
Gun Range Fire,2020/08/20 21:49:41
CHIEF TIMOTHY,2020/08/20 23:01:12
Mickey,2020/08/20 22:55:37
Wood Lake,2020/08/20 20:31:32
NORTH BROWNSTOWN 3,2020/08/16 21:50:06
Red Butte,2020/08/21 00:36:25
R-1 MAPES,2020/08/11 04:00:04
Wildcat ,2020/08/21 03:41:42
TULE ROAD,2020/08/17 05:50:05
Aurora Ridge ,2020/08/21 03:45:22
Ridge,2020/08/21 15:57:02
Mildred,2020/08/21 16:35:38
Copeland,2020/08/21 16:13:17
Putnam Springs,2020/08/19 20:15:06
East Myton,2020/06/19 21:52:25
Jack,2020/08/13 18:18:44
Jim Canyon 3,2020/07/09 20:48:51
Spring Fire,2020/06/24 01:29:42
Island Ridge,2020/07/19 17:57:19
Dome Top,2020/08/13 17:07:05
Rose ,2020/08/13 18:23:07
Pitch Fork,2020/06/19 21:52:42
Oscar Assist,2020/07/27 14:55:05
Spring Creek 3,2020/07/17 20:04:52
Northeast Canyon,2020/07/28 00:03:52
Wetlands CCFD 2,2020/08/13 18:22:04
Mineral,2020/07/19 21:02:56
Pine Creek,2020/08/13 18:20:04
Ridge,2020/08/13 18:19:57
Sage Junction,2020/07/04 21:13:51
Diamond,2020/08/13 18:19:26
Somersett,2020/08/16 22:22:57
West Bank,2020/07/26 01:55:18
Tivehvun Lake,2020/06/23 15:42:30
Gold,2020/07/31 19:26:38
Quarterhorse - Rosebud,2020/07/20 18:47:11
Spring Creek 2,2020/06/26 18:18:39
Gold,2020/08/15 02:39:38
WALKER,2020/07/15 17:55:19
Bear Rapids,2020/07/16 01:15:02
Castleton,2020/08/13 18:23:33
R-6 MIXIE FLAT,2020/07/29 16:19:18
Sloan 18,2020/08/13 18:23:13
Sloan 16,2020/08/13 18:19:51
Sliman Reservoir,2020/07/10 20:24:44
La Mancha,2020/08/13 18:22:17
Iris,2020/07/27 04:25:42
Musser ,2020/07/27 00:13:04
Corral,2020/07/09 18:59:40
East Canyon,2020/07/10 20:24:26
Dugout - Garfield,2020/08/03 17:00:57
South Idahome,2020/08/20 03:16:15
Florida Canyon,2020/08/13 18:21:28
McDonaldville,2020/07/10 20:25:04
South,2020/08/13 18:19:49
Dutch,2020/08/13 18:21:12
North Stansbury,2020/06/19 21:52:44
0409 PR,2020/07/15 20:51:49
Railroad,2020/08/13 18:19:20
North Fork,2020/06/20 21:38:21
Riverbed,2020/08/13 18:18:40
117,2020/08/09 18:09:19
North,2020/08/13 18:22:55
Drops,2020/08/01 14:26:26
Chicken Creek,2020/07/08 22:27:23
Valley,2020/08/07 18:30:43
Fairhaven Creek,2020/06/20 21:41:25
Old Tyler,2020/07/31 17:18:15
CHEYENNE RIVER,2020/07/27 20:20:04
Kawichiark River 4,2020/06/20 21:41:26
Big Creek,2020/06/20 21:41:14
Truck Stop,2020/08/13 18:23:01
Ten,2020/07/10 20:26:52
Happy,2020/08/13 18:21:37
North,2020/08/13 18:20:02
MM81 I84,2020/08/15 19:34:06
Stillwater,2020/06/19 21:54:18
North Wendell ,2020/07/28 00:04:11
Sloan 7,2020/08/13 18:23:12
Coyote,2020/06/19 21:52:27
2120 Foot,2020/08/13 18:19:45
Shoe tree,2020/08/13 18:20:33
Pleasant Valley,2020/07/28 00:04:15
Valley,2020/08/13 18:19:21
Embar,2020/08/09 21:11:59
Winter Springs,2020/06/19 21:54:44
Plum,2020/08/04 16:45:13
Alfred Creek,2020/06/20 21:40:15
Median,2020/07/12 23:03:37
Dennis Hill ,2020/07/21 19:23:49
Little Lonesome,2020/07/16 14:07:10
Crows Nest,2020/07/28 00:04:13
Leota,2020/06/23 17:29:57
Clover,2020/08/13 18:20:05
Tumit Creek,2020/06/20 21:42:30
Moonfish,2020/07/10 12:53:55
Saddle,2020/08/13 18:22:11
Hyndman,2020/07/28 22:05:50
Bliss Dump,2020/07/28 20:41:52
JUNGLE CREEK ,2020/08/17 20:55:07
Seep Ridge,2020/06/19 21:53:20
Osgood,2020/08/13 18:19:52
Khotol Slough,2020/06/20 21:42:25
WICKIUP ROAD 473 PR,2020/07/29 19:30:24
Melozitna River,2020/06/20 21:42:15
Bradley,2020/08/10 03:38:44
Ravenswood 2,2020/08/13 18:22:12
Grindstone Butte,2020/07/28 00:04:14
Stewart Canyon,2020/08/13 18:21:22
No Creek,2020/06/20 21:38:31
MM 60,2020/08/13 18:21:33
Adams,2020/07/27 04:05:06
North Lena,2020/08/13 18:21:31
ponderosa,2020/07/08 21:10:06
Magic Waters,2020/08/19 20:53:11
Spring,2020/07/06 14:52:09
Hollow,2020/08/02 01:37:55
Flint Mesa,2020/07/10 20:22:17
Mud Lake,2020/08/14 01:42:59
Richmond,2020/08/04 19:11:29
CRONAN,2020/07/10 20:25:57
Taft,2020/08/13 18:20:42
Tea Kettle ,2020/07/10 20:22:41
Area-16,2020/08/13 18:19:41
Franklin County Assist 1,2020/08/01 03:22:19
Mullen Canyon,2020/08/13 18:18:38
North Center,2020/08/13 18:21:29
Smoke Shop,2020/08/13 18:21:08
